"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"PLS","WDB",6,3,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","WDB",7,3,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","WDB",8,3,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","WDB",9,3,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","WDB",5,3,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","WDB",10,3,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","WDB",11,3,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","WDB",8,3,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","WDB",8,3,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","WDB",7,3,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","WDB",11,3,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","WDB",4,3,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","WNS",1,2,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","WNS",2,2,TRUE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","WNS",1,2,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","WNS",3,2,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","WNS",4,2,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","WNS",5,2,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","WNS",4,2,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","WNS",6,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","WNS",7,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","WNS",8,2,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","WNS",9,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","WNS",5,2,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","WNS",10,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","WNS",11,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","WNS",8,2,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","WNS",8,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","WNS",7,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","WNS",11,2,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","WNS",4,2,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","WNS",3,2,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","WOG",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","WOG",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","WOG",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","WOG",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","WOG",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","WOG",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","WOG",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","WOG",6,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","WOG",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","WOG",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","WOG",9,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","WOG",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","WOG",10,12,FALSE,"Spring 2026 Nesting Period_Communities"
